id	title	is_current
1	The Lekki Headmaster	1
2	Sweet Sixteen	0
3	The Life Changer	0
4	The Lion and the Jewel	0
5	Look Back in Anger	0
6	Second Class Citizen	0
7	Unexpected Joy at Dawn	0
8	Wuthering Heights	0
9	The Wives' Revolt	0
10	Animal farm	0
11	Witnesses to Tears	0
12	Twelfth Night	0
13	Morountodun	0
14	Native Son	0
15	Faceless	0
16	Lonely Days	0
17	Othello	0
18	Harvest of Corruption	0
19	Nineteen Eighty-Four	0
20	Romeo and Juliet	0
21	Sons and Daughters	0
22	The Joys of Motherhood	0
23	The Old Man and the Sea	0
24	Purple Hibiscus	0
25	A Woman in her Prime	0
26	Tempest	0
27	Women of Owu	0
28	The Old Man and the Medal	0
29	Hamlet	0
30	Fragments	0
31	The New Man	0
32	Tess of the D'Urbervilles	0
33	Attahiru	0
34	The Triumph of the Water Lily	0
35	She Stoops to Conquer	0
36	The African Child	0
37	The Trials of Brother Jero	0
38	The Mayor of Casterbridge	0
39	The Stillborn	0
40	Julius Ceasar	0
41	The Beautiful Ones Are Not Yet Born	0
42	Lord of the Flies	0
43	Ovonramwen Nogbaisi	0
44	Macbeth	0
45	So Long a Letter	0
46	Arrow of God	0
47	Arms and the Man	0
48	Great Expectation	0
49	The Victims	0
50	The gods are not to blame	0
51	Mission to Kala	0
52	Things Fall Apart	0
53	The Marriage of Anansewa	0
54	As You Like It	0
55	Kongi's Harvest	0
56	Tell Freedom	0
57	The Concubine	0
58	Kossoh Town Boy	0
59	Mine Boy	0
60	Zambia Shall be Free	0
61	My Family and Other Animals	0
62	The Narrow Path	0
63	The Middle Passage	0
64	No Longer at Ease	0
65	Mister Johnson	0
66	Fences	0
67	A Midsummer Night's Dream	0
68	Invisible Man	0
70	Let Me Die Alone	0
71	Selected Poems from: New Poetry from Africa; Poems of Black Africa;  A Selection of African Poetry; Exam Focus: Literature-in-English; Longman Examination Guides; West African Verse	0
72	Selected Poems from: Exam Focus: Literature-in-English: 2021-25	0
73	The Canterbury Tales	0
74	Silas Marner	0
75	The Merchant of Venice	0
76	The Last Days at Forcados High School	0
77	In Dependence	0
78	The Potter's Wheel	0
79	Ozidi	0
80	Antony & Cleopatra	1
81	An Inspector Calls	1
82	Once Upon an Elephant	1
83	The Marriage of Anansewa	1
84	A Man for all Seasons	1
85	Redemption Road	1
86	To Kill a Mockingbird	1
87	So the Path Does Not Die	1
88	Path of Lucas: The Journey He Endured	1